Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1040000,847.089,24.732174,-857.6969,11.662709,11.137486,0.015938813,13.801768,0.007926275,22346.478494574832,248.0,22066.697344605167
1050000,867.12463,41.384563,-860.1409,19.960758,19.429607,0.011165645,14.045686,0.007912166,22346.450910099953,248.0,22460.116376358434
1060000,872.21313,50.122135,-863.1894,23.91308,23.451384,0.009871801,11.615722,0.007898262,None,None,None
1070000,858.6791,36.788956,-869.4473,17.438671,17.05485,0.013028077,12.311506,0.007866701,22346.194604382334,247.0,22346.194858776613
1080000,871.72125,31.591146,-869.26337,15.461783,15.119038,0.013331815,12.282005,0.007853107,None,None,None
1090000,868.3408,24.293077,-876.5505,11.020706,11.133486,0.011964502,12.923211,0.007834118,22346.788818356614,247.0,22346.788721415043
1100000,874.1961,25.740778,-876.70074,12.328912,12.094784,0.008764732,12.926992,0.0078103216,22346.30795193712,247.0,22346.307979835405
1110000,868.15515,26.528349,-882.7153,12.378635,12.274308,0.007898838,12.059257,0.007784183,22347.287727507453,247.0,18256.071195496454
1120000,876.1796,23.867725,-877.94275,11.154289,10.987646,0.008835341,12.506985,0.007769906,None,None,23711.026666157777
1130000,891.1714,4.3213816,-884.10876,1.9404368,1.9439484,0.008967598,12.5267515,0.0077462597,None,None,None
1140000,892.6949,3.4342363,-882.4674,1.5626347,1.4771221,0.0065366905,13.806035,0.007726946,22347.061882960093,247.0,22609.134969709718
1150000,860.58716,1.1059463,-879.27264,0.49393559,0.46804756,0.003664901,13.05059,0.007714947,22346.810395186974,247.0,21399.334782595055
1160000,894.98364,0.16418119,-886.91077,0.06638521,0.043076966,0.0022165582,11.772217,0.0076840157,None,None,None
1170000,885.0371,0.15215266,-888.6386,0.06211559,0.036549773,0.0020711923,11.489794,0.007672738,None,None,None
