Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
30000,293.21176,179.31183,-309.42633,47.331917,43.50019,0.06583291,15.150614,0.009489059,22345.323124969724,248.0,22345.32304021109
40000,421.6621,226.5277,-407.30936,48.47517,57.18526,0.012444263,13.958192,0.009313324,None,None,None
50000,491.02115,211.78304,-480.76044,45.058796,42.468315,0.00412224,12.634864,0.009117083,22343.940825457375,247.0,22343.940358981905
60000,540.118,157.54478,-551.044,46.189007,34.32332,0.0032685904,9.48857,0.0089048715,22344.131568905173,247.0,22344.1315849887
70000,612.9079,131.82848,-610.40045,32.33602,39.779514,0.0044521242,11.698448,0.008698227,22342.67362491952,247.0,22609.978452320756
80000,648.98694,123.35452,-654.0882,29.689795,29.147152,0.0031902136,12.6762,0.008503251,22342.66909142004,247.0,22162.394292659537
90000,692.6317,187.26332,-694.44525,47.488907,32.0628,0.003190084,13.646291,0.008308291,22341.973314983978,247.0,22341.97312475203
100000,742.4567,143.86647,-727.0308,27.951529,27.47566,0.0034115482,13.990964,0.008095264,22343.5226282229,247.0,22343.522892017747
110000,734.7266,118.08868,-752.7088,26.66611,30.714808,0.0020914725,13.400771,0.007886584,22343.04522686017,247.0,21740.304676444142
120000,787.9093,121.3261,-776.181,30.086035,19.605944,0.0015445116,12.313232,0.007712947,22342.624959659246,247.0,23400.471377124744
130000,795.58044,56.61974,-791.61523,18.340046,13.09018,0.0015374236,11.260011,0.00752284,None,None,19881.072763205568
140000,789.8879,218.11398,-807.46765,38.861225,34.10877,0.0018044173,11.263718,0.0073000574,22343.915868808,247.0,22343.9159904826
150000,828.8251,4.9696302,-820.53485,1.0999898,0.1833089,0.0018773084,12.944499,0.0071070525,22344.31300227551,247.0,22344.312920101816
160000,810.5057,23.876524,-833.7203,0.3776491,11.669528,0.0015547294,13.832338,0.0069071474,None,None,None
170000,844.08203,14.435917,-838.28235,7.0420823,0.41151518,0.0011119333,14.195165,0.006674705,22345.17395205161,247.0,22084.50915401052
180000,848.5573,81.215675,-845.8822,23.287624,9.258944,0.0007413323,14.714731,0.006526594,None,None,23308.500757150676
190000,845.57196,56.485714,-853.69446,1.7291416,19.600075,0.00048048722,15.363527,0.0063307188,None,None,None
200000,864.98785,21.347214,-857.698,9.674073,1.6619891,0.00029681966,15.905309,0.006072014,22346.115896155712,247.0,22346.115750665605
210000,857.38654,74.46808,-863.65155,6.0929637,13.871158,0.00015509599,16.450382,0.005863572,None,None,None
220000,869.25574,16.231459,-863.18677,8.972577,0.031631373,0.00011725223,18.045362,0.0056731645,22345.49684554711,247.0,20946.45438747406
230000,866.5805,67.75159,-868.48737,9.685501,14.681862,0.00013085903,18.917147,0.005505878,22346.133056454775,247.0,22413.85629870171
240000,862.61835,9.790915,-874.26733,1.9301779,1.4750457,0.00017016853,20.004002,0.0052952245,None,None,None
250000,884.49,2.8335216,-871.91754,1.521993,0.014944128,0.00020061285,20.171082,0.005102068,22345.636599807898,247.0,22464.873004110043
260000,869.77466,17.312052,-875.55334,5.9935904,2.5167716,0.0009439404,17.880743,0.0049082474,22345.83368490926,247.0,22165.56046669081
270000,878.1548,32.434258,-881.54114,11.068579,5.5794406,0.0021365653,14.415972,0.004675007,22346.07909108119,248.0,22346.079094436434
280000,893.9122,10.103513,-878.88873,2.4003973,3.1146553,0.0033116194,11.623279,0.004510867,22346.834515019837,247.0,22346.834406069996
290000,872.2075,49.769413,-883.46985,10.653023,12.547264,0.004285268,10.515198,0.004311661,22345.948117971835,247.0,22345.947934625878
300000,878.0641,11.659487,-885.00793,3.1641648,3.0386198,0.0044538197,11.489488,0.0040774923,22345.885563293265,247.0,22345.88594815135
310000,881.8713,40.117496,-887.0191,12.680519,11.715812,0.0046985666,11.151242,0.0038382646,22347.863726994645,248.0,22347.863707020257
320000,886.2583,72.36853,-884.47095,22.894724,18.887154,0.0054839384,10.530657,0.003676733,22347.21830311376,247.0,22347.218005600902
330000,880.3066,35.8795,-887.14215,12.31136,12.33211,0.005747886,11.668544,0.003517538,None,None,None
340000,903.70557,37.717625,-886.81586,13.490214,13.521663,0.0053567113,11.383087,0.0032956966,22347.308441794376,247.0,22347.308621027405
350000,877.3248,22.639675,-886.5507,7.9554935,7.962608,0.005169882,11.508498,0.003087997,22347.799406706872,247.0,22347.79952711736
360000,906.7129,18.268682,-888.9246,7.503594,7.6049995,0.004493452,11.193777,0.0028847184,None,None,None
370000,870.87823,15.25924,-890.15247,5.690862,5.540754,0.004848505,11.361684,0.0026944668,22347.579199799507,247.0,22347.579400655985
380000,914.22546,20.259636,-891.3688,7.517573,7.046625,0.0046686884,11.743531,0.0025120003,None,None,None
390000,871.4737,16.986835,-888.53986,6.376292,6.4316773,0.0044652307,11.336234,0.002342366,22347.239990981918,247.0,22347.240380512758
400000,895.3898,12.790651,-892.98303,5.1533003,5.152305,0.004313233,11.444763,0.002079332,22347.143396448966,247.0,22347.143425854545
410000,903.7045,0.025808059,-890.821,0.009572114,0.008292653,0.004196506,11.254867,0.0018631581,None,None,None
