Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
10000,14.575531,0.0029974135,-102.42101567205819,51.13186813186813,-26.071787,-102.17113845914767,159.57082,24.01629,64.12665,60.865517,0.8170789
20000,15.348484,0.0029911725,-102.86647191462227,60.51282051282051,-21.438026,-103.186649898688,108.59751,20.893784,53.45905,53.641384,0.3490655
30000,14.904408,0.0029850563,-105.29979138491731,59.96969696969697,-18.961319,-105.38095735492128,110.35306,18.28641,54.265617,54.471355,0.100981206
40000,13.701405,0.002979137,-77.47655788260336,63.1554054054054,-16.678398,-77.52241013034079,119.51062,16.714333,58.88133,58.788876,0.03249294
50000,12.294489,0.002973061,-77.63507291543986,64.31818181818181,-16.317907,-77.63507302705344,117.22784,15.181322,57.871777,57.763107,0.013636429
60000,11.343753,0.002967077,-63.667882770021386,85.1214953271028,-14.033433,-63.667883263570126,117.92305,13.957759,58.234806,58.208546,0.007830296
70000,10.727565,0.002960945,-6.691676812914182,185.22641509433961,-13.220764,-6.691677728913865,103.75243,12.774889,51.451775,51.256966,0.006278247
80000,10.365589,0.0029549925,-89.85995126425706,167.39655172413794,-11.082981,-86.09637846026504,95.55692,11.562211,47.347958,47.13289,0.006882144
90000,10.412908,0.0029490462,-80.05131909747918,193.75,-10.935774,-84.62953180196334,92.21697,10.526088,45.50939,45.44175,0.00842395
100000,10.322908,0.0029429416,-89.43742902036155,164.1451612903226,-9.114837,-89.43742907047272,80.56503,9.343645,40.07722,39.868,0.009747649
110000,10.260514,0.0029369614,-48.12323028987871,174.28301886792454,-8.134678,-48.1232300614411,64.73479,8.496326,31.903341,32.019375,0.010506155
120000,10.425808,0.0029309755,-88.84799394777843,149.75714285714287,-7.6657295,-88.84799298218319,60.060555,7.8425665,29.710955,29.638826,0.010737504
130000,10.38875,0.0029249724,-58.65525333645443,166.63333333333333,-7.690002,-58.65525373617808,41.358673,7.304132,20.379503,20.453325,0.010673845
140000,10.085106,0.002919009,-65.58550901325613,166.17241379310346,-6.511841,-65.58550881928412,37.65625,6.8559623,18.544575,18.557537,0.009962169
150000,10.435559,0.0029130324,-61.32518173571752,196.57142857142858,-6.6668925,-61.32518146232683,23.762974,6.5328393,11.551707,11.704474,0.009180284
160000,10.309314,0.0029070457,-60.93265828595031,170.9375,-6.500571,-60.932657308876514,24.06422,6.183827,11.802189,11.824976,0.008327212
170000,10.252066,0.0029009406,-80.46256003459847,177.42592592592592,-6.494272,-80.03999260011709,22.681456,6.081202,11.109617,11.107687,0.007822846
180000,9.848622,0.0028949548,-80.1147891001209,201.7173913043478,-6.1424236,-80.59869819879532,22.545387,5.8503027,10.9868765,11.067282,0.0073208995
190000,9.654964,0.0028888716,-78.24419541839434,200.48979591836735,-5.7029734,-77.48208121831219,21.438396,5.5804553,10.4367895,10.487526,0.0058367695
200000,9.854224,0.0028831162,-78.34610969513174,138.25806451612902,-5.815272,-78.92515094696529,23.388062,5.343569,11.316242,11.306145,0.004610073
210000,9.892382,0.0028771164,-100.24668845920158,186.875,-6.4929457,-98.27165755141866,20.49448,5.3840165,9.983976,9.896998,0.0040915515
220000,9.549679,0.0028710095,-82.33757491245613,188.3050847457627,-5.27984,-84.44650386571884,21.385399,5.2624536,10.521249,10.372749,0.0039042667
230000,9.791157,0.0028649326,-66.3543073436202,227.02325581395348,-5.3581605,-66.35430795647378,18.740074,5.1922393,9.257773,9.163162,0.0034985805
240000,9.187667,0.0028589065,-114.65352015964913,148.56060606060606,-5.358509,-114.65351978576544,17.560926,5.050139,8.625407,8.604245,0.002640765
250000,9.003931,0.00285287,-91.85138143686117,133.3896103896104,-5.509402,-91.5869325336657,23.101225,5.1069927,11.407102,11.372743,0.002508174
260000,8.708811,0.002846872,-81.89373572422443,127.66216216216216,-5.2751036,-82.29448023557663,21.76301,5.066391,10.691688,10.635358,0.0024616867
