Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
10000,15.791751,0.000999102,-0.9957517926331337,29.5,4.915021,-0.995568714739715,33.349144,-9.214879,9.177167,6.827724,0.6807162
20000,15.473382,0.0009970424,-0.9833799759903665,54.65745856353591,9.002516,-0.9852684403651327,9.009348,-10.951657,3.796674,3.6419947,0.63930094
30000,15.457854,0.0009950045,-0.9920940361325703,52.026455026455025,10.585872,-0.9913055478895783,7.6418324,-11.919022,3.3200042,3.2274287,0.5904584
40000,15.427361,0.0009929653,-1.0087785623708174,48.65174129353234,11.835934,-1.007846599194541,6.7912374,-12.869019,3.0090253,2.9200141,0.53932375
50000,15.395801,0.0009910676,-0.9987459076520724,49.94358974358974,12.7372055,-0.9988082861288999,6.621824,-13.452353,2.959518,2.8668933,0.50016856
60000,15.401632,0.0009890428,-0.996031829533966,40.8744769874477,13.329763,-0.997284243046988,6.572593,-13.878832,2.969233,2.876582,0.46482822
70000,15.391864,0.0009870678,-1.0007370423142599,45.691588785046726,13.952071,-0.9995264956884296,6.657584,-14.26715,3.037562,2.9454896,0.4285847
80000,15.325592,0.0009849827,-0.993381990097007,39.82857142857143,14.377047,-0.9938841143432928,6.7259197,-14.586068,3.0711675,2.9966574,0.39611733
90000,15.277601,0.0009830259,-0.9926078624540954,34.97841726618705,14.570116,-0.9926100167439138,6.860482,-14.783831,3.1355562,3.0729434,0.36603805
100000,15.208833,0.0009809996,-1.0005923932424103,30.602523659305994,14.981833,-0.999961787217799,7.180626,-14.911351,3.298523,3.2338393,0.33728158
110000,15.097457,0.0009789505,-0.9896156122563872,28.328445747800586,15.211777,-0.9897844438329121,7.674278,-15.026712,3.5449347,3.4767635,0.3088722
120000,14.93124,0.0009770134,-0.9966124151833355,31.848684210526315,15.726453,-0.9966971925214717,7.677227,-15.047136,3.551774,3.4748936,0.2835017
130000,14.845468,0.00097503106,-0.9939951073475991,36.550561797752806,15.938622,-0.9945833104826538,8.094405,-15.254906,3.7502248,3.7148283,0.26353717
140000,14.741938,0.0009730097,-0.9866514867171645,39.229838709677416,15.997112,-0.9860492894245733,7.9810295,-15.237041,3.7134697,3.6800919,0.2465254
150000,14.557417,0.0009709805,-1.0009597691687497,52.06382978723404,16.354155,-1.000331477915987,7.990059,-15.33433,3.7136493,3.6840353,0.22871003
160000,14.469532,0.0009690702,-0.9657641084778388,66.40397350993378,16.383635,-0.9652333097742093,7.3149652,-15.175193,3.3854039,3.3596566,0.20945688
170000,14.434463,0.00096696033,-0.9630816797725856,76.6875,16.22062,-0.9629021189175546,6.8473444,-15.26419,3.1887906,3.1474218,0.19554691
180000,14.32437,0.0009650082,-0.9061994422227144,78.6774193548387,16.149883,-0.9083432376745247,6.317033,-15.1983,2.9489484,2.9379108,0.18500984
190000,14.358681,0.00096301216,-0.9416027817306882,84.14406779661017,15.9973,-0.9409822170007027,6.0353518,-15.297458,2.8123446,2.802183,0.17546555
200000,14.367986,0.0009608997,-0.8177808366977332,87.13157894736842,15.478445,-0.8302125423091703,5.134659,-15.152444,2.3994958,2.382534,0.16616006
210000,14.331647,0.00095900067,-0.7535279621793465,112.63636363636364,15.267111,-0.750397860417875,4.4415836,-14.934607,2.0696568,2.0779626,0.15409559
220000,14.323202,0.000957068,-0.7604156051762402,123.225,15.021405,-0.7468323672190309,3.686594,-14.734344,1.7241476,1.7149848,0.14484634
230000,14.284344,0.0009548997,-0.7914874365796214,107.6195652173913,14.794458,-0.7923120473228071,3.009994,-14.670258,1.4043832,1.3957348,0.13732482
240000,14.316766,0.0009530194,-0.7723519192582153,119.87951807228916,14.627328,-0.7864475411822996,2.730199,-14.36236,1.2738123,1.2673709,0.12927361
