Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,1.4189383,0.0002999118,0.08022932245813567,85.58620689655173,0.00012696709,0.0011435658,0.08022932245813567,0.0
20000,1.4189347,0.00029969122,0.329574034402245,194.92105263157896,0.0046516433,0.00047971014,0.306477086385712,0.09039277565898374
30000,1.418923,0.00029949564,0.41784904776688886,218.3235294117647,0.0129711535,0.00066983793,0.4206794836633914,0.28185241283672685
40000,1.4195174,0.00029929134,0.2604952440079715,162.11111111111111,0.029491892,0.021177066,0.2604952440079715,0.3063014914773198
50000,1.4197807,0.00029910085,0.38346381432243754,200.9047619047619,0.03791333,0.030814413,0.38346381503201665,0.3248373389332777
60000,1.4205189,0.00029890335,0.46702999466409284,228.64583333333334,0.052790996,0.03849465,0.46702999497453374,0.23066373627322415
70000,1.4205925,0.00029870012,0.41587522986034553,202.58333333333334,0.05714963,0.03994315,0.4158752292394638,0.14950164740245478
80000,1.420672,0.00029850178,0.3784823208474196,197.73076923076923,0.06538684,0.0411563,0.378482320274298,0.11634541849175897
90000,1.4205463,0.00029830294,0.4447696805000305,214.1304347826087,0.0755481,0.041856147,0.44476968093194824,0.11013284144396691
100000,1.4204729,0.00029809933,0.425139944255352,199.6,0.0826114,0.041987542,0.4269920793526313,0.09551074514713358
110000,1.4202124,0.0002979015,0.4636246831539799,221.23529411764707,0.093381375,0.04283431,0.45788166365202737,0.10072894396452124
120000,1.4201943,0.00029770803,0.45655727746586006,227.01666666666668,0.10216153,0.042451974,0.4582109286404047,0.10174791144634612
130000,1.4201705,0.00029750122,0.45892812355476265,215.02941176470588,0.11529331,0.0418742,0.4589281231164932,0.09670686993665774
140000,1.4199853,0.00029729737,0.5070379419459237,229.37777777777777,0.12831195,0.04030166,0.5070379417803552,0.10230032177641987
150000,1.4198912,0.00029710063,0.5103692431399163,224.3404255319149,0.13755749,0.039870013,0.5103692431399163,0.09740356025979557
160000,1.4194833,0.00029690316,0.525534202846197,216.26923076923077,0.14710881,0.040178977,0.5255342031327578,0.08983766434651513
170000,1.4192979,0.0002967043,0.47722472543969296,209.93939393939394,0.15375869,0.041074622,0.47722472566546814,0.08511475877215464
180000,1.4191073,0.00029650278,0.5656729535536563,230.40425531914894,0.15902232,0.042550743,0.5656729535536563,0.09090713871533963
190000,1.4186891,0.00029630493,0.5165006724064765,225.8913043478261,0.16510497,0.04435181,0.5165006728923839,0.0878964988362935
200000,1.4185549,0.00029610546,0.5165161328656332,220.14285714285714,0.16759852,0.044344623,0.5165161328656332,0.08477274719625712
