Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
4830000,1.2865384,0.00020344344,0.03826751559972763,27.0,0.79489875,0.05314276,0.03826751559972763,0.0
4840000,1.2865385,0.00020329605,0.2574523910880089,63.0,0.7946714,0.053411257,0.2574523985385895,0.0
4850000,1.2863542,0.00020311247,1.955712065482751,242.4102564102564,0.78417516,0.052367378,1.965408481657505,0.0008903392376133093
4860000,1.285874,0.00020290018,1.9746442665936241,243.54929577464787,0.78725934,0.050574027,1.969263765753971,0.06855472869291487
4870000,1.2852218,0.00020269635,0.42275717854499817,71.0,0.793904,0.050234918,0.42275717109441757,0.03458936745300889
4880000,1.2852128,0.00020249192,1.9061478961791312,234.33333333333334,0.7884531,0.050346844,1.9061478968887102,0.12077499014170219
4890000,1.2843906,0.00020228488,2.0259762472216636,242.79710144927537,0.78643537,0.05010191,2.025976247329643,0.1244295327367423
4900000,1.2843875,0.0002021094,1.999415981556688,236.37142857142857,0.7889199,0.049860127,1.9994159817695618,0.12219229191541672
4910000,1.2837316,0.00020190925,1.8364603065631606,217.45454545454547,0.7805742,0.050368495,1.836460304531184,0.10914836088407108
4920000,1.2835147,0.0002016941,2.0499957387384615,243.65263157894736,0.78414696,0.050569396,2.0499957381894713,0.1272028248414005
4930000,1.2833219,0.00020150244,1.9425984099507332,246.0,0.7927445,0.051121492,1.9425984174013138,0.12777462438680232
4940000,1.2831173,0.00020131802,2.0513920535643897,241.13888888888889,0.7900002,0.05102526,2.0515858535255704,0.12274748855935676
4950000,1.2829697,0.00020111538,2.0271126743572863,241.3134328358209,0.79310703,0.05084867,2.0273699768106725,0.12475996272748008
4960000,1.2823331,0.00020091813,1.897321990132332,235.5,0.79628855,0.05123966,1.897321992367506,0.12350674578920007
4970000,1.2821245,0.00020070294,2.036426464068717,240.0144927536232,0.7909422,0.05129259,1.9945471854436965,0.12389380524733237
4980000,1.2817554,0.00020049726,2.0037318624747105,240.51282051282053,0.795834,0.05099191,2.0437573762328336,0.1223916436517329
4990000,1.2811687,0.00020029504,2.1435190602656333,246.06451612903226,0.79937583,0.05090981,2.143519059304268,0.12851063829035528
5000000,1.2806275,0.00020008905,2.0362066124444422,245.04347826086956,0.79544353,0.05127387,2.004319974919781,0.12580781592987478
5010000,1.2802509,0.00019990004,1.9416663425794818,235.05263157894737,0.7959537,0.051456407,1.9746795287224608,0.1225539600922608
5020000,1.2799933,0.00019970033,1.9786115953964847,236.71428571428572,0.7982376,0.051368736,1.9786115985895907,0.12548020615109376
5030000,1.279508,0.00019950407,2.0858736516135497,244.46341463414635,0.7972544,0.0513962,2.0876270830631256,0.12511257966980338
5040000,1.2791874,0.00019931061,2.040187358856201,243.15254237288136,0.79909253,0.051467195,2.0397798427691063,0.1218783158188065
5050000,1.278763,0.00019911258,2.064680179847138,238.92857142857142,0.8059994,0.05148186,2.126854405953334,0.1267830766737461
5060000,1.2783931,0.0001989088,1.9856740568504958,241.31147540983608,0.79827315,0.050739277,1.9834933817690732,0.12356902868011777
5070000,1.2781888,0.00019870653,2.080754254859957,244.1818181818182,0.79979026,0.05071864,2.0481498998246694,0.12688796542454184
5080000,1.2779129,0.00019850019,1.9845207767753765,235.0344827586207,0.805686,0.050981145,1.984520780115292,0.12318658416063108
5090000,1.2775553,0.00019830874,2.104084580459378,245.04545454545453,0.80498964,0.05087196,2.0863297906954115,0.12280472561081009
5100000,1.277273,0.00019811279,2.0411661768332126,241.725,0.8050423,0.05063879,2.06248481658309,0.11958903219377578
5110000,1.2766595,0.00019789375,2.04140866920352,246.05882352941177,0.8079678,0.050532866,2.0414086702991936,0.1307888389838969
5120000,1.2762784,0.00019768551,2.06083856542141,245.28205128205127,0.8099232,0.050510734,2.060838566185572,0.12208392762411864
5130000,1.2753664,0.00019750629,2.0698267588928596,238.67796610169492,0.81295526,0.050782736,2.0698267592717023,0.11868907580688848
5140000,1.2749214,0.0001973015,2.1435445223003624,241.7,0.8174734,0.050820436,2.1435445215553046,0.12490100841969251
5150000,1.2744143,0.00019709492,2.1514234742889666,246.3972602739726,0.81732404,0.050637715,2.1270890306967956,0.12267527646170212
5160000,1.2741798,0.0001969093,1.870503313243389,227.88,0.8202466,0.050781287,1.9865366498177701,0.11579592717867909
5170000,1.2740425,0.00019670052,2.1225339646140733,243.3,0.8167246,0.050968777,2.1225339631239573,0.12531874651710193
5180000,1.2735769,0.00019649812,2.0764513870235533,243.40625,0.8196342,0.0506979,2.0764513890026137,0.12461424779030494
5190000,1.2733575,0.0001963052,1.9462001514434815,223.08,0.81266725,0.050896365,1.9462001493573189,0.11335975293070077
5200000,1.2729943,0.00019609499,2.036160763995401,239.55172413793105,0.81856936,0.05100919,2.0361607665645667,0.12264903641209521
5210000,1.2724674,0.00019588969,2.102519578903037,246.05882352941177,0.81381243,0.050910294,2.1025195787934696,0.1264872461940874
5220000,1.2722678,0.00019569285,2.0948581243002855,239.14814814814815,0.8177802,0.05071604,2.0948581243002855,0.12593852590631555
5230000,1.2717134,0.00019549737,2.0837834204236665,242.95833333333334,0.8219765,0.050909907,2.0837834204236665,0.11802689490529399
5240000,1.2714598,0.00019530517,2.121904799689169,244.1917808219178,0.8175528,0.050988846,2.1220407866769366,0.1212465189035154
5250000,1.2709924,0.0001950969,2.0533568249507383,246.0909090909091,0.8217637,0.050649308,2.055911482676216,0.12336819367888181
5260000,1.2703228,0.00019489329,1.9636485200861227,233.1304347826087,0.8234624,0.05045507,1.9636485184664312,0.11456433035757231
5270000,1.2702107,0.00019470709,2.1194606288853617,244.52777777777777,0.8230117,0.050399475,2.113277057421879,0.12226870131324714
5280000,1.2696406,0.00019450346,1.8688845217227936,220.43333333333334,0.8274335,0.050151613,1.8911299950653506,0.11440185568625888
5290000,1.2694228,0.00019429761,2.1864325118561587,246.08333333333334,0.8267207,0.050244644,2.186432513097922,0.1238656440594544
5300000,1.269151,0.00019410334,2.055792752152948,241.59701492537314,0.8210154,0.050319858,2.0557927534873808,0.12432503107406978
5310000,1.2687602,0.0001939061,1.9718333285015364,224.3846153846154,0.82553273,0.05059246,1.9718333313671441,0.1154521772852884
5320000,1.2686346,0.00019370648,2.097478222598632,241.2,0.82185334,0.050839208,2.0974782216052215,0.11945217714334527
5330000,1.2682992,0.00019349881,2.067423629715587,241.3181818181818,0.8176104,0.050344136,2.0674236276836107,0.12306440308351409
5340000,1.2681518,0.00019329552,2.0617783204824836,232.66666666666666,0.81712323,0.05038902,2.0617783207584313,0.1211848979194959
5350000,1.2679636,0.00019310316,2.077258807296554,239.16666666666666,0.81373763,0.05068862,2.0772588081243963,0.11795959590623777
5360000,1.2673938,0.0001929007,2.1112102147191765,240.98333333333332,0.8157433,0.050467998,2.1112102144708236,0.1200099319840471
5370000,1.2671664,0.00019270187,2.091946892440319,230.92857142857142,0.81659544,0.05032403,2.0919468884489367,0.11516388321095812
5380000,1.2665122,0.00019250698,2.109573787311092,240.65625,0.8110887,0.050600816,2.109573788708076,0.12150762244709767
5390000,1.266366,0.00019230272,2.1260358870534573,240.91525423728814,0.81866115,0.050563846,2.1371238010710685,0.11868996256641273
5400000,1.2660612,0.00019210197,2.0283427892718464,238.65625,0.8183858,0.051086713,2.0118153366175564,0.12013846782572342
5410000,1.2659031,0.00019189743,2.226274499340969,246.05882352941177,0.8276286,0.050633423,2.2262744982452953,0.12809675559401512
5420000,1.2658006,0.00019169707,2.1697111715530526,246.06896551724137,0.83032,0.05051434,2.1662334964743684,0.12343134112390024
5430000,1.2653568,0.0001914994,2.054880422764811,236.55172413793105,0.8306592,0.050591085,2.0685711055994034,0.11731173903230697
5440000,1.2650236,0.00019130159,2.1266561376990056,241.5686274509804,0.82666,0.05069569,2.1168209216062057,0.11957183525838117
5450000,1.2645091,0.00019110208,2.0536054239741395,227.57142857142858,0.8312906,0.050585385,2.070006684278664,0.11560226701523947
5460000,1.2641405,0.00019089569,1.985053296913119,224.44117647058823,0.83697075,0.050681148,1.985053299323601,0.11293899098082501
5470000,1.2640036,0.00019070544,2.1109531245967177,243.63829787234042,0.8338697,0.050756995,2.1109531239626254,0.11731636097179131
5480000,1.263632,0.00019051005,2.0472341662272813,235.525,0.8310984,0.050545152,2.0472341645509005,0.1175968447001651
5490000,1.2634432,0.00019030418,2.08991685242225,239.51282051282053,0.8304019,0.05041029,2.0899168503208037,0.12364664721565369
5500000,1.2632229,0.00019009956,2.1747118279337885,246.075,0.8350519,0.0504419,2.1747118309140205,0.12029084926471115
5510000,1.262885,0.00018990453,2.210682529211044,245.3111111111111,0.83234835,0.05030302,2.2106825318601397,0.12037555815445053
5520000,1.2627653,0.00018970713,2.0077846045295398,243.2,0.83650994,0.050174028,2.007784606516361,0.12187190048086147
5530000,1.2624605,0.00018949658,2.1224797497624937,238.02173913043478,0.83940613,0.05000369,2.1224797507343083,0.11827692819465681
