Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,1.4189383,0.00029992004,0.06409275606274605,78.3,-0.0012197362,-0.00033099606,0.06409275606274605,0.0
20000,1.4190642,0.00029970187,0.20204551949312813,143.26315789473685,0.003053812,-0.00031428057,0.20204551988526395,0.024944103077838297
30000,1.4194374,0.00029949873,0.3975776622400564,219.4470588235294,0.012867238,0.0013784575,0.40317235452433425,0.24272235961619854
40000,1.4202373,0.0002992904,0.29747101119378716,175.26829268292684,0.024295036,0.015070935,0.2886651190263884,0.31364919767726124
50000,1.4204401,0.00029909707,0.40857259819612785,213.38235294117646,0.033094976,0.025693037,0.40857259797699313,0.32878751576165943
60000,1.420814,0.00029889416,0.47176664837382054,232.21818181818182,0.048109554,0.031928703,0.47003461986228273,0.2119410625848643
70000,1.4208074,0.00029869608,0.4543473118295272,221.9375,0.053382225,0.032523643,0.4566115743043471,0.14372834897771172
80000,1.42079,0.00029850635,0.3971985513965289,202.33333333333334,0.06129785,0.03331625,0.3971985513965289,0.10506395713115732
90000,1.4206101,0.00029829756,0.480983145821553,225.21153846153845,0.069163784,0.033977374,0.4809831459648334,0.10907460536915235
100000,1.4205139,0.00029809726,0.4424745333804326,223.72727272727272,0.07261063,0.034010764,0.44247453388842667,0.10065025006505576
110000,1.4202973,0.0002979078,0.47990163776910666,222.63636363636363,0.0845316,0.03512851,0.47990163776910666,0.09848413818205397
120000,1.4201905,0.00029770267,0.4501679378436573,214.44776119402985,0.08875223,0.03549138,0.450167938288468,0.09257818303077912
130000,1.4199659,0.0002974998,0.42099461518228054,193.7,0.095842876,0.036583297,0.42099461499601604,0.0838901559880469
140000,1.4197278,0.00029729865,0.4376563307913867,211.02272727272728,0.10167326,0.03743883,0.43765633045272395,0.09033878510738512
150000,1.4196223,0.00029709746,0.453249246130387,205.21666666666667,0.10569635,0.037879694,0.45186771629220346,0.08779925266596472
160000,1.4194725,0.00029689644,0.4514505840264834,204.30769230769232,0.118315056,0.03892159,0.4535333076491952,0.0851860502967611
170000,1.4193536,0.0002966987,0.5202785877599603,219.26190476190476,0.12410943,0.039183486,0.5104773751436136,0.08696835420619792
180000,1.4191748,0.0002965013,0.5692105178916177,234.86046511627907,0.1329329,0.039476816,0.5743290291208288,0.09218407144931995
190000,1.4189008,0.00029630234,0.529648360836765,225.8913043478261,0.14392816,0.038958386,0.53846934305297,0.08780353074738136
200000,1.4187773,0.00029610106,0.5685513026830626,222.0487804878049,0.14981252,0.03876856,0.5581739901431969,0.08301319254262905
210000,1.4185936,0.00029589923,0.5689025700447106,231.71428571428572,0.16196376,0.037253406,0.5689025703995001,0.08674023809310581
220000,1.4185932,0.00029570272,0.5383442959383778,219.80434782608697,0.16675077,0.036465943,0.5383442957764086,0.08248641286247774
230000,1.4185925,0.0002955025,0.5564277998921348,223.97560975609755,0.17366426,0.035636242,0.5653861029073596,0.08389027648372575
240000,1.4185871,0.00029530306,0.6193797302178361,236.75,0.17963313,0.034535274,0.6073712020773779,0.08530134185936979
250000,1.4185393,0.00029510437,0.5881476014513861,226.11363636363637,0.18352818,0.034453724,0.5904879183931784,0.08218683072746816
260000,1.4182447,0.0002949011,0.6086541760044221,235.07692307692307,0.19041598,0.033095174,0.609025246091187,0.08464992340886965
270000,1.4179589,0.00029470137,0.619942104245754,232.46808510638297,0.19453628,0.032653444,0.619942104404277,0.08354078633264896
280000,1.4177322,0.00029449922,0.6273427005555179,235.40540540540542,0.19857103,0.032205842,0.6273427005555179,0.0835356731282396
290000,1.4177717,0.00029429985,0.6248713534097282,236.12244897959184,0.20492895,0.031243257,0.6231197365559638,0.083359081618255
300000,1.417807,0.00029410142,0.645680457957693,235.56756756756758,0.20733728,0.031401202,0.647345417816388,0.08342388639300082
310000,1.4179084,0.00029390055,0.6544893666408783,236.90697674418604,0.21224387,0.03197724,0.6544893668141476,0.08269404890665481
320000,1.417792,0.00029370026,0.6125431507825851,237.72093023255815,0.21399626,0.032896545,0.6125431502627772,0.08348783768908402
330000,1.4177171,0.00029349737,0.5898775504458518,228.35714285714286,0.21592174,0.033574283,0.5898775506232466,0.0800038496464757
340000,1.4175526,0.00029330014,0.5839789082727781,223.17073170731706,0.21964401,0.033770986,0.5839789082727781,0.07739886750535267
350000,1.4175769,0.00029310022,0.5565015143998291,218.02173913043478,0.221497,0.033658255,0.5565015145617983,0.07550557588389062
360000,1.4176595,0.00029289786,0.563103967227719,219.29090909090908,0.22728401,0.03357214,0.558478175352017,0.07526989086289648
370000,1.4177321,0.00029269955,0.6023812349408101,210.74358974358975,0.23013386,0.033788133,0.6076441222801805,0.07219326805789024
380000,1.417766,0.00029250162,0.6311912975140981,225.65714285714284,0.23487222,0.033870116,0.6311912973012243,0.07752027190955622
390000,1.4177151,0.0002923018,0.6251373585117491,227.03508771929825,0.24027647,0.033728994,0.6251373583810371,0.07740345651185826
400000,1.4176483,0.00029210065,0.5534727728137603,203.66666666666666,0.2439408,0.03366282,0.5534727731958414,0.06991703029817496
410000,1.4175409,0.00029189966,0.5539647569047644,210.04255319148936,0.2487613,0.03368125,0.5539647569047644,0.0717023127821294
420000,1.4174086,0.000291702,0.6204967751514678,230.05882352941177,0.24618748,0.033448536,0.6179709015786647,0.07751760271377861
430000,1.4173217,0.00029150088,0.5814803670111456,212.8684210526316,0.24552736,0.03341572,0.585719088331247,0.07285054325938034
440000,1.4169313,0.00029129747,0.5367177350819111,207.76,0.24788839,0.034040295,0.5366343828488369,0.070312819538676
